Title,Artist,Song ID,Streams,Chart Date
Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin",6osaMSJh9NguagEDQcZaKx,23280,2019-12-27
ויקיפדיה,Hanan Ben Ari,2KWwL6Z8VOrK6PTY1B2si9,23128,2019-12-27
נתראה בגלגול הבא,Ravid Plotnik,2KJGTf9nJq9HoRwG5eXyNc,23118,2019-12-27
Had Enough (feat. Quavo & Offset),Don Toliver,2jrAaawDRCn1JjeouxAyDN,23113,2019-12-27
Ride It,Regard,2tnVG71enUj33Ic2nFN6kZ,22872,2019-12-27
אוהבת אותי אמיתי,Omer Adam,7jA3zTLaXW0nCi2xj056ne,22671,2019-12-27
יש ימים,Liran Danino,4634Q6zs4pvqGAXS5uXZau,22618,2019-12-27
If I Can't Have You,Shawn Mendes,2bT1PH7Cw3J9p3t7nlXCdh,22102,2019-12-27
סוודר,Noy Fadlon,4Yq0YrSQ8ACaZzBAZsVcBo,22098,2019-12-27
אור גדול,Amir Dadon,3rKq9QQzb28Klhwh1LK9nn,22095,2019-12-27
קרובה אליי,Eyal Golan,1yxyUsXduZu7DySnzd1fRZ,22087,2019-12-27
bury a friend,Billie Eilish,4SSnFejRGlZikf02HLewEF,21841,2019-12-27
"10,000 Hours (with Justin Bieber)",Dan + Shay,2wrJq5XKLnmhRXHIAf9xBa,21691,2019-12-27
נסיכה שלי,Ivri Lider,29CnJh29jn9ps2E0ZYupct,21659,2019-12-27
לא מהם,Tuna,4WSFJOGYwyPbTBK3u5tFFy,21492,2019-12-27
איך אפשר,Jane Bordeaux,7o6UDPFWtYrjUZnRvi1dvO,21394,2019-12-27
2002,Anne-Marie,2BgEsaKNfHUdlh97KmvFyo,21090,2019-12-27
אנרגיה,Tuna,6I22rocqLZSvF7lg3TXxOJ,21088,2019-12-27
יפה כלבנה,Eviatar Banai,2da2YOegDZxpYiXLvA3u29,21081,2019-12-27
הזוג הזה,Mergui,4wsc8OzliQP9P2ZiuevaBn,21044,2019-12-27
ילדים כאלה,Eden Hason,5xrZpr1va5sIWMb5ndfgQP,21002,2019-12-27
לך עם האמת שלך,Eden Meiri,6WoWEuJGRAYhcr25pc4Fhw,20999,2019-12-27
Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,20966,2019-12-27
אחת כמוני,Liran Danino,2BmYBeZOsPPg2OfRmg8rMo,20945,2019-12-27
בסיבוב,"Tuna, Tzlil",5RnhWaP5VD3eJN3J0chPmh,20855,2019-12-27
כל הזמן הזה,Ravid Plotnik,3SSQpPFdf3WkAQgld5Eib8,20855,2019-12-27
SAD!,XXXTENTACION,3ee8Jmje8o58CHK66QrVC2,20711,2019-12-27
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,20545,2019-12-27
נגמר,Idan Amedi,2kQmLi3MUrTkj3E4eICpt1,20464,2019-12-27
אסור,Mergui,5MSnQx4WDgSh8kdCz4pnuj,20456,2019-12-27
מה אתה רוצה ממני,Hanan Ben Ari,5SJLUgTWG0ahT6JN2wXYTP,20421,2019-12-27
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,07Oz5StQ7GRoygNLaXs2pd,20366,2019-12-27
Graveyard,Halsey,6V9fHiv84WlVTg7CSnIVY2,20317,2019-12-27
Piece Of Your Heart,"MEDUZA, Goodboys",1DFD5Fotzgn6yYXkYsKiGs,20305,2019-12-27
מחזיק לי את היד,Mor,00bv4cnO0crfZDrLHSCw5d,20287,2019-12-27
עולם משוגע,"Tuna, Ravid Plotnik",4JmmjsGmOED0sn0Le3r84u,20223,2019-12-27
Drum,Noa Kirel,3qjaGBUPlPuOWisR11tzDS,20210,2019-12-27
Before You Go,Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,20178,2019-12-27
פתאום אהבה,Itay Levi,1HH4IitAuYbMnZ4PYb2O5I,20152,2019-12-27
SICKO MODE,Travis Scott,2xLMifQCjDGFmkHkpNLD9h,20137,2019-12-27
Con Calma,"Daddy Yankee, Snow",5w9c2J52mkdntKOmRLeM2m,20089,2019-12-27
Robbery,Juice WRLD,6Hj9jySrnFppAI0sEMCZpJ,20046,2019-12-27
Rescue Me,OneRepublic,0mjAU3yKR1QnXnHtjGJqTM,19974,2019-12-27
אוח,"Tuna, אחשתיים",7wZ0Lvxerp8Sv5qW4WEboP,19835,2019-12-27
all the good girls go to hell,Billie Eilish,6IRdLKIyS4p7XNiP8r6rsx,19648,2019-12-27
Let Me Down Slowly,Alec Benjamin,2qxmye6gAegTMjLKEBoR3d,19601,2019-12-27
Wow.,Post Malone,7xQAfvXzm3AkraOtGPWIZg,19558,2019-12-27
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,0KoiMHhqKLoL4xM54rcWYY,19508,2019-12-27
אורות גבוהים,"Tuna, Peled",7iXkeRarMhyuO1EiYU4RvU,19385,2019-12-27
SOS (feat. Aloe Blacc),Avicii,2x0RZdkZcD8QRI53XT4GI5,19373,2019-12-27
תקרא לי מאמי,Mor,2DiGbQUQcchDENBZ3EU4yJ,19339,2019-12-27
סיגפו,Beit Habubot,09yDsl7d8xXZPntarkiVes,19333,2019-12-27
כתוב מלמעלה,Idan Raichel,595ojjhl4tSnHU32pQbU7l,19265,2019-12-27
קלאנג,"Tuna, NOROZ, Michael Swissa",0FrF9Qz69ZYPHHUE5ezgec,19170,2019-12-27
שהכאב ימצא לו חברים,Yam Refaeli,1KmujYKPsLB445VrBd3yMV,18956,2019-12-27
מה עשה לנו הזמן,Eden Meiri,0jqtVpTU0YJu8fcolkpIBM,18912,2019-12-27
Lights Up,Harry Styles,4jAIqgrPjKLTY9Gbez25Qb,18844,2019-12-27
תגידי לי שטוב לך,Omer Adam,5USjMSf2G7LTsY0bvKHdT4,18834,2019-12-27
אל תשאלי,"Gil Vain, Benaia Barabi",1yzINfwcfaS0yOSwvaiQda,18823,2019-12-27
Better Now,Post Malone,7dt6x5M1jzdTEt8oCbisTK,18771,2019-12-27
לילה בסיני,Moshe Peretz,7froG4iXI1r0X5e3AgggGA,18756,2019-12-27
חיים שלי,Eden Ben Zaken,2WIFXJ0WRo7rlj0Rtl1r1Z,18691,2019-12-27
Powerful,"Red Band, Full Trunk",6bIZYCeCEixok9C8DtlI8P,18602,2019-12-27
Money In The Grave (Drake ft. Rick Ross),Drake,5ry2OE6R2zPQFDO85XkgRb,18512,2019-12-27
עוד יום במשרד,Tuna,2ZYwkQ4p4BQ6o5koDQnjWY,18424,2019-12-27
עד שתחזור,Yuval Dayan,3pw20ZYKAch2MrZbina61g,18259,2019-12-27
עד הבוקר,Tuna,10KtZbPPlax1I3JYjanz3P,18235,2019-12-27
שגרה מפוארת,Omer Adam,4o0f4jkkTk098vms8MwG7N,18196,2019-12-27
you should see me in a crown,Billie Eilish,3XF5xLJHOQQRbWya6hBp7d,18092,2019-12-27
הנה ימים באים,Ishay Ribo,4Ev2U8UPfWqZr2nl3gVbt5,18054,2019-12-27
שווארמה,Ravid Plotnik,056rbs45zIOK2RnppBSbCM,18041,2019-12-27
Look At Her Now,Selena Gomez,4yI3HpbSFSgFZtJP2kDe5m,17856,2019-12-27
שקופים,"Keren Peles, Ron Buhnik",0kHH84xNo2hcgZtpguBU3r,17820,2019-12-27
Dance Monkey,Tones And I,1rgnBhdG2JDFTbYkYRZAku,129576,2020-01-03
Falling,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,81453,2020-01-03
ROXANNE,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,77217,2020-01-03
אלוף העולם,Hanan Ben Ari,67dg9xeMIRXjcQbmbWtBFW,76930,2020-01-03
נחכה לך,"Nathan Goshen, Ishay Ribo",0KZ2xiFYOdNQfohg4ZFXf5,73068,2020-01-03
Señorita,"Shawn Mendes, Camila Cabello",6v3KW9xbzN5yKLt9YKDYA2,70048,2020-01-03
מסע,Eliad,2WBNUsV0WH7Cmjr71viWfC,68525,2020-01-03
שגרה מפוארת,Omer Adam,4o0f4jkkTk098vms8MwG7N,67514,2020-01-03
Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,66985,2020-01-03
אגרוף,Eden Ben Zaken,2DSBoOVLqBdNXZKSJBdtBN,65283,2020-01-03
bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,63963,2020-01-03
BEG,"Omer Adam, Netta",44pKbfoyixQSaiiJde9i1F,63424,2020-01-03
לשוב הביתה,Ishay Ribo,52n4gF126eIllrGuc9Zus6,61597,2020-01-03
הלב שלי,Ishay Ribo,7Ck421SAROdN0Q6RXMbic7,59904,2020-01-03
everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,59588,2020-01-03
Yummy,Justin Bieber,41L3O37CECZt3N7ziG2z7l,59088,2020-01-03
Memories,Maroon 5,2b8fOow8UzyDFAE27YhOZM,57904,2020-01-03
ממה את מפחדת,"Eyal Golan, Benaia Barabi",706pZPUcsKsREHM8RqHaY0,54848,2020-01-03
The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,54249,2020-01-03
מים שקופים,Omer Adam,2m50HsnzEczYBaYrcf7duI,53974,2020-01-03
דיבור נגוע,"Mergui, Stephane Legar",19u24hOHMdNfGPedV2lFum,53286,2020-01-03
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,52617,2020-01-03
Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,52007,2020-01-03
לקחת את המפתחות,Itay Levi,29gCUQ8kKPbmh3VKyspTfg,51352,2020-01-03
מתגעגעת,Nathan Goshen,48pM1v8Z0EN8OiKzifbOWG,50326,2020-01-03
My Oh My (feat. DaBaby),Camila Cabello,3yOlyBJuViE2YSGn3nVE1K,50310,2020-01-03
Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD,49500,2020-01-03
Never Go Back,Dennis Lloyd,2QrXzOqLCVDRZHkToA0tSR,49127,2020-01-03
'פאוץ,Noa Kirel,0USBNSmk6buxHeANl7Rxnm,48795,2020-01-03
אין יותר מועדונים,Eden Hason,0q3yDDxPh0k5nvgh2SPcsS,46919,2020-01-03
