Title,Artist,Song ID,Streams,Chart Date
BUTTERFLY EFFECT,Travis Scott,6xcJyGpfZbuuiequtnlKt4,5154,2019-12-27
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,2Rk4JlNc2TPmZe2af99d45,5138,2019-12-27
MIDDLE CHILD,J. Cole,2JvzF1RMd7lE3KmFlsyZD8,5136,2019-12-27
Thinking out Loud,Ed Sheeran,1Slwb6dOYkBlWal1PGtnNg,5117,2019-12-27
Murder On My Mind,YNW Melly,7eBqSVxrzQZtK2mmgRG6lC,5113,2019-12-27
Sa Ngalan Ng Pag-Ibig,December Avenue,00mBzIWv5gHOYxwuEJXjOG,5110,2019-12-27
3 Nights,Dominic Fike,1tNJrcVe6gwLEiZCtprs1u,5102,2019-12-27
Kathang Isip,Ben&Ben,3WUEs51GpcvlgU7lehLgLh,4996,2019-12-27
Waed Menni,Rahma Riad,3dcwxdRMi8nSODD4r5dKsb,4968,2019-12-27
ocean eyes,Billie Eilish,2uIX8YMNjGMD7441kqyyNU,4943,2019-12-27
JACKBOYS,JACKBOYS,62zKJrpbLxz6InR3tGyr7o,4933,2019-12-27
Faded,Alan Walker,698ItKASDavgwZ3WjaWjtz,4929,2019-12-27
Let You Down,NF,52okn5MNA47tk87PeZJLEL,4914,2019-12-27
Dance Monkey,Tones And I,1rgnBhdG2JDFTbYkYRZAku,53533,2020-01-03
Falling,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,46987,2020-01-03
ROXANNE,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,42422,2020-01-03
The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,35139,2020-01-03
Memories,Maroon 5,2b8fOow8UzyDFAE27YhOZM,33224,2020-01-03
Yummy,Justin Bieber,41L3O37CECZt3N7ziG2z7l,32044,2020-01-03
Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,29446,2020-01-03
Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,29321,2020-01-03
Señorita,"Shawn Mendes, Camila Cabello",6v3KW9xbzN5yKLt9YKDYA2,27586,2020-01-03
Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD,26167,2020-01-03
everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,25928,2020-01-03
My Oh My (feat. DaBaby),Camila Cabello,3yOlyBJuViE2YSGn3nVE1K,24354,2020-01-03
No Idea,Don Toliver,3VyjsVV24RmBIbWJAeUJNu,23077,2020-01-03
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,20252,2020-01-03
bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,20185,2020-01-03
Lose You To Love Me,Selena Gomez,1HfMVBKM75vxSfsQ5VefZ5,20028,2020-01-03
Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7,19189,2020-01-03
Heartless,The Weeknd,57vxBYXtHMk6H1aD29V7PU,18698,2020-01-03
hot girl bummer,blackbear,7aiClxsDWFRQ0Kzk5KI5ku,18484,2020-01-03
Beautiful People (feat. Khalid),Ed Sheeran,70eFcWOvlMObDhURTqT4Fv,18056,2020-01-03
HIGHEST IN THE ROOM,Travis Scott,3eekarcy7kvN4yt5ZFzltW,17425,2020-01-03
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,16544,2020-01-03
نساني,Ali Arnoos,4eATgVzzItxYeRosdOu60A,16479,2020-01-03
Warqa,Saif Amer,6mwaAeZONHdnqokoNj7fV0,16254,2020-01-03
Ayy Macarena,Tyga,6LcauUZjF1eXQrgqMUecHX,16152,2020-01-03
I Don't Care (with Justin Bieber),Ed Sheeran,0hVXuCcriWRGvwMV1r5Yn9,16114,2020-01-03
Ransom,Lil Tecca,1lOe9qE0vR9zwWQAOk6CoO,15982,2020-01-03
Lalala,"Y2K, bbno$",51Fjme0JiitpyXKuyQiCDo,15881,2020-01-03
How Do You Sleep?,Sam Smith,6b2RcmUt1g9N9mQ3CbjX2Y,15215,2020-01-03
BOP,DaBaby,6Ozh9Ok6h4Oi1wUSLtBseN,14837,2020-01-03
Before You Go,Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,14796,2020-01-03
Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR,14731,2020-01-03
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0RiRZpuVRbi7oqRdSMwhQY,14317,2020-01-03
Mean It,"Lauv, LANY",5ACkb3CikcSZPF0h7FSZAp,14284,2020-01-03
Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",2YpeDb67231RjR0MgVLzsG,14078,2020-01-03
Trampoline (with ZAYN),SHAED,1iQDltZqI7BXnHrFy4Qo1k,13905,2020-01-03
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,7h0d2h0fUmzbs7zeFigJPn,13770,2020-01-03
7 rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,13210,2020-01-03
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,4vUmTMuQqjdnvlZmAH61Qk,12624,2020-01-03
It's You,Ali Gatie,5DqdesEfbRyOlSS3Tf6c29,12582,2020-01-03
Tala,Sarah Geronimo,4T7CM071eEoHudiDShZlCJ,12387,2020-01-03
Bandit (with YoungBoy Never Broke Again),Juice WRLD,6Gg1gjgKi2AK4e0qzsR7sd,12330,2020-01-03
RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",6cy3ki60hLwimwIje7tALf,12285,2020-01-03
lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,12265,2020-01-03
Futsal Shuffle 2020,Lil Uzi Vert,2Ec33AVlkTTq8BHFgBTdQs,12230,2020-01-03
"10,000 Hours (with Justin Bieber)",Dan + Shay,2wrJq5XKLnmhRXHIAf9xBa,12152,2020-01-03
Moonlight,XXXTENTACION,0JP9xo3adEtGSdUEISiszL,12087,2020-01-03
Own It (feat. Ed Sheeran & Burna Boy),Stormzy,4QPEwDdOMhY7rNS05mTyMR,11996,2020-01-03
Happier,"Marshmello, Bastille",2dpaYNEQHiRxtZbfNsse99,11841,2020-01-03
SAD!,XXXTENTACION,3ee8Jmje8o58CHK66QrVC2,11802,2020-01-03
Yellow Hearts,Ant Saunders,2W4yABdLc4Jnds67Poi5Nl,11489,2020-01-03
Ballin' (with Roddy Ricch),Mustard,3QzAOrNlsabgbMwlZt7TAY,11005,2020-01-03
Ride It,Regard,2tnVG71enUj33Ic2nFN6kZ,10875,2020-01-03
Falling,Harry Styles,1ZMiCix7XSAbfAJlEZWMCp,10803,2020-01-03
Without Me,Halsey,5p7ujcrUXASCNwRaWNHR1C,10614,2020-01-03
Say So,Doja Cat,3Dv1eDb0MEgF93GpLXlucZ,10502,2020-01-03
Up All Night,Khalid,1mpD5Q8IM32I4bF6eCpU74,10496,2020-01-03
Graveyard,Halsey,6V9fHiv84WlVTg7CSnIVY2,10119,2020-01-03
Goodbyes (Feat. Young Thug),Post Malone,6vBdBCoOhKHiYDDOcorfNo,9913,2020-01-03
Look At Her Now,Selena Gomez,4yI3HpbSFSgFZtJP2kDe5m,9868,2020-01-03
If the World Was Ending - feat. Julia Michaels,JP Saxe,2kJwzbxV2ppxnQoYw4GLBZ,9808,2020-01-03
Lose Control,"MEDUZA, Becky Hill, Goodboys",7CHi4DtfK4heMlQaudCuHK,9421,2020-01-03
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,07Oz5StQ7GRoygNLaXs2pd,9328,2020-01-03
rockstar (feat. 21 Savage),Post Malone,0e7ipj03S05BNilyu5bRzt,9301,2020-01-03
Sucker,Jonas Brothers,22vgEDb5hykfaTwLuskFGD,9171,2020-01-03
Suicidal,YNW Melly,1iSqfoUFnQwV0QW1EfUit8,9079,2020-01-03
Girls Like You (feat. Cardi B),Maroon 5,7fa9MBXhVfQ8P8Df9OEbD8,9074,2020-01-03
Hope,XXXTENTACION,2ZRo7axmMPeSVUvDbGkJah,8890,2020-01-03
2002,Anne-Marie,2BgEsaKNfHUdlh97KmvFyo,8837,2020-01-03
Dancing With A Stranger (with Normani),Sam Smith,6Qs4SXO9dwPj5GKvVOv8Ki,8833,2020-01-03
Hate Me (with Juice WRLD),Ellie Goulding,6kls8cSlUyHW2BUOkDJIZE,8768,2020-01-03
Money In The Grave (Drake ft. Rick Ross),Drake,5ry2OE6R2zPQFDO85XkgRb,8724,2020-01-03
Catriona,Matthaios,4YMfE4r1JWADFw2Fn74XW2,8694,2020-01-03
"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,1DEkGXICCGLjDF7C65KBFw,8550,2020-01-03
Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,8266,2020-01-03
Maktoob Ma Artah,Ahmed Al Maslawi,2YKeexcZTaMatMTfts9SmG,8258,2020-01-03
